DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
10.1145/3637528.3671573,FederatedScope-LLM: A Comprehensive Package for Fine-tuning Large Language Models in Federated Learning,"Weirui Kuang, Bingchen Qian, Zitao Li, Daoyuan Chen, Dawei Gao, Xuchen Pan, Yuexiang Xie, Yaliang Li, Bolin Ding, Jingren Zhou",Knowledge Discovery and Data Mining,2024,"Large language models (LLMs) have demonstrated great capabilities in various natural language understanding and generation tasks. These pre-trained LLMs can be further improved for specific downstream tasks by fine-tuning. However, the adoption of LLM in real-world applications can be hindered by privacy concerns and the resource-intensive nature of model training and fine-tuning. When multiple entities have similar interested tasks but cannot directly share their local data due to privacy regulations, federated learning (FL) is a mainstream solution to leverage the data of different entities. Besides avoiding direct data sharing, FL can also achieve rigorous data privacy protection, model intelligent property protection, and model customization via composition with different techniques. Despite the aforementioned advantages of FL, fine-tuning LLMs in FL settings still lacks adequate support from the existing frameworks and, therefore, faces challenges in optimizing the consumption of significant communication and computational resources, preparing various data for different tasks, and satisfying diverse information protection demands. In this paper, we discuss these challenges and introduce our package FederatedScope-LLM (FS-LLM) as a main contribution, which consists: (1) We build a complete end-to-end benchmarking pipeline under real-world scenarios, automizing the processes of dataset preprocessing, federated fine-tuning execution or simulation, and performance evaluation; (2) We provide comprehensive and off-the-shelf federated parameter-efficient fine-tuning (PEFT) algorithm implementations and versatile programming interfaces for future extension, enhancing the capabilities of LLMs in FL scenarios with low communication and computation costs, even without accessing the full model; (3) We adopt several accelerating and resource-efficient operators, and provide flexible pluggable sub-routines for interdisciplinary study. We conduct extensive and reproducible experiments to show the effectiveness of FS-LLM and benchmark advanced LLMs with PEFT algorithms in FL. We release FS-LLM at https://github.com/alibaba/FederatedScope/tree/llm.",2b88bcaf-a295-4fd4-868f-dea4e59ff8fe,252,158,(missing PubMedId)
10.1109/TPAMI.2024.3418862,"Federated Learning for Generalization, Robustness, Fairness: A Survey and Benchmark","Wenke Huang, Mang Ye, Zekun Shi, Guancheng Wan, He Li, Bo Du, Qiang Yang",IEEE Transactions on Pattern Analysis and Machine Intelligence,2023,"Federated learning has emerged as a promising paradigm for privacy-preserving collaboration among different parties. Recently, with the popularity of federated learning, an influx of approaches have delivered towards different realistic challenges. In this survey, we provide a systematic overview of the important and recent developments of research on federated learning. First, we introduce the study history and terminology definition of this area. Then, we comprehensively review three basic lines of research: generalization, robustness, and fairness, by introducing their respective background concepts, task settings, and main challenges. We also offer a detailed overview of representative literature on both methods and datasets. We further benchmark the reviewed methods on several well-known datasets. Finally, we point out several open issues in this field and suggest opportunities for further research.",decdd679-b320-44a0-89f3-94401552999a,194,411,https://pubmed.ncbi.nlm.nih.gov/38917282
10.48550/ARXIV.2411.03286,DiT4Edit: Diffusion Transformer for Image Editing,"Kunyu Feng, Yue Ma, Bingyuan Wang, Chenyang Qi, Haozhe Chen, Qifeng Chen, Zeyu Wang",arXiv.org,2024,"Despite recent advances in UNet-based image editing, methods for shape-aware object editing in high-resolution images are still lacking. Compared to UNet, Diffusion Transformers (DiT) demonstrate superior capabilities to effectively capture the long-range dependencies among patches, leading to higher-quality image generation. In this paper, we propose DiT4Edit, the first Diffusion Transformer-based image editing framework. Specifically, DiT4Edit uses the DPM-Solver inversion algorithm to obtain the inverted latents, reducing the number of steps compared to the DDIM inversion algorithm commonly used in UNet-based frameworks. Additionally, we design unified attention control and patch merging, tailored for transformer computation streams. This integration allows our framework to generate higher-quality edited images faster. Our design leverages the advantages of DiT, enabling it to surpass UNet structures in image editing, especially in high-resolution and arbitrary-size images. 
Extensive experiments demonstrate the strong performance of DiT4Edit in various editing scenarios, highlighting the potential of diffusion transformers for image editing.",dc42c347-c790-4e02-af2f-0032ad02edd2,70,73,(missing PubMedId)
10.1109/TKDE.2024.3382002,A Survey for Federated Learning Evaluations: Goals and Measures,"Di Chai, Leye Wang, Liu-Nan Yang, Junxue Zhang, Kai Chen, Qiang Yang",IEEE Transactions on Knowledge and Data Engineering,2023,"Evaluation is a systematic approach to assessing how well a system achieves its intended purpose. Federated learning (FL) is a novel paradigm for privacy-preserving machine learning that allows multiple parties to collaboratively train models without sharing sensitive data. However, evaluating FL is challenging due to its interdisciplinary nature and diverse goals, such as utility, efficiency, and security. In this survey, we first review the major evaluation goals adopted in the existing studies and then explore the evaluation metrics used for each goal. We also introduce FedEval, an open-source platform that provides a standardized and comprehensive evaluation framework for FL algorithms in terms of their utility, efficiency, and security. Finally, we discuss several challenges and future research directions for FL evaluation.",dc61ee1f-fa7d-4e42-8c27-ebb7e4d792c7,35,189,(missing PubMedId)
10.48550/ARXIV.2411.10714,FlexFL: Flexible and Effective Fault Localization with Open-Source Large Language Models,"Chunfang Xu, Zhongxin Liu, Xiaoxue Ren, Gehao Zhang, Ming Liang, David Lo",arXiv.org,2024,"Due to the impressive code comprehension ability of Large Language Models (LLMs), a few studies have proposed to leverage LLMs to locate bugs, i.e., LLM-based FL, and demonstrated promising performance. However, first, these methods are limited in flexibility. They rely on bug-triggering test cases to perform FL and cannot make use of other available bug-related information, e.g., bug reports. Second, they are built upon proprietary LLMs, which are, although powerful, confronted with risks in data privacy. To address these limitations, we propose a novel LLM-based FL framework named FlexFL, which can flexibly leverage different types of bug-related information and effectively work with open-source LLMs. FlexFL is composed of two stages. In the first stage, FlexFL reduces the search space of buggy code using state-of-the-art FL techniques of different families and provides a candidate list of bug-related methods. In the second stage, FlexFL leverages LLMs to delve deeper to double-check the code snippets of methods suggested by the first stage and refine fault localization results. In each stage, FlexFL constructs agents based on open-source LLMs, which share the same pipeline that does not postulate any type of bug-related information and can interact with function calls without the out-of-the-box capability. Extensive experimental results on Defects4J demonstrate that FlexFL outperforms the baselines and can work with different open-source LLMs. Specifically, FlexFL with a lightweight open-source LLM Llama3-8B can locate 42 and 63 more bugs than two state-of-the-art LLM-based FL approaches AutoFL and AgentFL that both use GPT-3.5.",32d3f700-99a7-402b-9e72-ac31ad58097e,12,82,(missing PubMedId)
10.1038/S41578-025-00772-8,Large language models for reticular chemistry,"Zhiling Zheng,  Nakul Rampal,  Théo Jaffrelot Inizan,  C. Borgs,  J. Chayes,  O. Yaghi",Nature Reviews Materials,2025,(missing abstract),1df5e1e9-ce76-414d-9856-81130542cac8,71,170,(missing PubMedId)
10.1016/J.NEUNET.2025.107222,TF-BERT: Tensor-based fusion BERT for multimodal sentiment analysis,"Jingming Hou,  Nazlia Omar,  Sabrina Tiun,  Saidah Saad,  Qian He",Neural Networks,2025,(missing abstract),326329f9-3c77-4389-b9ba-fbdaf4561d52,14,75,https://pubmed.ncbi.nlm.nih.gov/39938440
10.1007/S10462-025-11162-5,BERT applications in natural language processing: a review,"Nadia Mushtaq Gardazi,  Ali Daud,  Muhammad Kamran Malik,  Amal Bukhari,  Tariq Alsahfi,  Bader Alshemaimri",Artificial Intelligence Review,2025,(missing abstract),d957d014-f33f-4755-aa8f-3119880a4b05,73,305,(missing PubMedId)
10.1109/TSE.2025.3553363,FlexFL: Flexible and Effective Fault Localization with Open-Source Large Language Models,"Chunfang Xu,  Zhongxin Liu,  Xiaoxue Ren,  Gehao Zhang,  Ming Liang,  David Lo",IEEE Transactions on Software Engineering,2025,"Fault localization (FL) targets identifying bug locations within a software system, which can enhance debugging efficiency and improve software quality. Due to the impressive code comprehension ability of Large Language Models (LLMs), a few studies have proposed to leverage LLMs to locate bugs, i.e., LLM-based FL, and demonstrated promising performance. However, first, these methods are limited in flexibility. They rely on bug-triggering test cases to perform FL and cannot make use of other available bug-related information, e.g., bug reports. Second, they are built upon proprietary LLMs, which are, although powerful, confronted with risks in data privacy. To address these limitations, we propose a novel LLM-based FL framework named FlexFL, which can flexibly leverage different types of bug-related information and effectively work with open-source LLMs. FlexFL is composed of two stages. In the first stage, FlexFL reduces the search space of buggy code using state-of-the-art FL techniques of different families and provides a candidate list of bug-related methods. In the second stage, FlexFL leverages LLMs to delve deeper to double-check the code snippets of methods suggested by the first stage and refine fault localization results. In each stage, FlexFL constructs agents based on open-source LLMs, which share the same pipeline that does not postulate any type of bug-related information and can interact with function calls without the out-of-the-box capability. Extensive experimental results on Defects4J demonstrate that FlexFL outperforms the baselines and can work with different open-source LLMs. Specifically, FlexFL with a lightweight open-source LLM Llama3-8B can locate 42 and 63 more bugs than two state-of-the-art LLM-based FL approaches AutoFL and AgentFL that both use GPT-3.5. In addition, FlexFL can localize 93 bugs that cannot be localized by non-LLM-based FL techniques at the top 1. Furthermore, to mitigate potential data contamination, we conduct experiments on a dataset which Llama3-8B has not seen before, and the evaluation results show that FlexFL can also achieve good performance.",a2005c39-8af9-469b-8414-ce5063a83061,12,82,(missing PubMedId)
10.1109/MCOM.001.2300550,Large Language Models Empowered Autonomous Edge AI for Connected Intelligence,"Yifei Shen,  Jiawei Shao,  Xinjie Zhang,  Zehong Lin, Hao Pan, Dongsheng Li, Jun Zhang,  Khaled B. Letaief",IEEE Communications Magazine,2024,(missing abstract),7c9090e8-b5e5-484b-9d2d-b15193dd8394,160,34,(missing PubMedId)
